complaint_number,title,category,priority,status,agent_name,created_at,sla_deadline,resolved_at
CMP-00059,Cannot login to my account,Account Issues,Medium,Assigned,Agent_B,2024-04-27 21:00:00,2024-04-29 21:00:00,
CMP-00060,App keeps crashing when I try to pay,Technical Problems,Medium,In Progress,Agent_E,2024-04-02 18:00:00,2024-04-04 18:00:00,
CMP-00061,Service outage in my area since last week,Service Disruption,Medium,Resolved,Agent_E,2024-12-05 12:00:00,2024-12-07 12:00:00,2024-12-10 11:00:00
CMP-00062,Order #77952 delayed by 7 days,Delivery Delays,High,Open,,2024-10-04 14:00:00,2024-10-05 14:00:00,
CMP-00063,Incorrect charge of ₹8441 on my invoice,Billing Issues,Medium,Pending Customer Response,Agent_E,2024-08-12 22:00:00,2024-08-14 22:00:00,
CMP-00064,Incorrect charge of ₹2424 on my invoice,Billing Issues,Medium,Open,,2024-02-28 14:00:00,2024-03-01 14:00:00,
CMP-00065,App keeps crashing when I try to pay,Technical Problems,Medium,Escalated,Agent_G,2024-04-07 19:00:00,2024-04-09 19:00:00,
CMP-00066,Order #80592 delayed by 9 days,Delivery Delays,Medium,Open,,2025-01-06 09:00:00,2025-01-08 09:00:00,
CMP-00067,App keeps crashing when I try to share,Technical Problems,Critical,Resolved,Agent_D,2024-10-19 12:00:00,2024-10-19 16:00:00,2024-10-19 16:00:00
CMP-00068,Service outage in my area since last week,Service Disruption,,Open,,2024-09-14 18:00:00,2024-09-16 18:00:00,
CMP-00069,Poor response from support team,Customer Service,High,Assigned,Agent_H,2025-02-04 08:00:00,2025-02-05 08:00:00,
CMP-00070,App keeps crashing when I try to upload,Technical Problems,Critical,Escalated,Agent_H,2024-10-04 01:00:00,2024-10-04 05:00:00,
CMP-00071,Cannot login to my account,Account Issues,High,In Progress,Agent_E,2024-01-15 01:00:00,2024-01-16 01:00:00,
CMP-00072,Cannot login to my account,Account Issues,High,Assigned,Agent_B,2024-11-08 12:00:00,2024-11-09 12:00:00,
CMP-00073,Incorrect charge of ₹3088 on my invoice,Billing Issues,High,In Progress,Agent_E,2024-12-12 17:00:00,2024-12-13 17:00:00,
CMP-00074,App keeps crashing when I try to download,Technical Problems,High,,Agent_G,2024-09-04 03:00:00,2024-09-05 03:00:00,
CMP-00075,Poor response from support team,Customer Service,High,Assigned,Agent_A,2024-11-06 23:00:00,2024-11-07 23:00:00,
CMP-00076,Cannot login to my account,Account Issues,High,Resolved,Agent_C,2024-11-17 03:00:00,2024-11-18 03:00:00,2024-11-21 14:00:00
CMP-00077,Defective keyboard received in last order,Product Defects,High,Assigned,Agent_C,2024-10-03 11:00:00,2024-10-04 11:00:00,
CMP-00078,Defective headphones received in last order,Product Defects,High,In Progress,Agent_B,2024-08-27 02:00:00,2024-08-28 02:00:00,
CMP-00079,Incorrect charge of ₹2275 on my invoice,Billing Issues,Medium,Resolved,Agent_E,2024-10-26 12:00:00,2024-10-28 12:00:00,2024-10-30 12:00:00
CMP-00080,Service outage in my area since last week,Service Disruption,High,Escalated,Agent_H,2024-12-24 09:00:00,2024-12-25 09:00:00,
CMP-00081,Order #74139 delayed by 11 days,Delivery Delays,Low,In Progress,Agent_G,2024-10-27 23:00:00,2024-10-30 23:00:00,
CMP-00082,Defective keyboard received in last order,Product Defects,Medium,In Progress,Agent_D,2024-07-04 03:00:00,2024-07-06 03:00:00,
CMP-00083,Poor response from support team,Customer Service,Medium,Resolved,Agent_A,2024-01-26 10:00:00,2024-01-28 10:00:00,2024-01-26 19:00:00
CMP-00084,Poor response from support team,CUSTOMER SERVICE,,Closed,Agent_A,2024-05-21 04:00:00,2024-05-24 04:00:00,2024-05-27 02:00:00
CMP-00085,Service outage in my area since last week,Service Disruption,Medium,Open,,2024-05-15 01:00:00,2024-05-17 01:00:00,
CMP-00086,Order #94323 delayed by 2 days,Delivery Delays,Low,Pending Customer Response,Agent_A,2025-01-07 21:00:00,2025-01-10 21:00:00,
CMP-00087,Cannot login to my account,Account Issues,Low,Resolved,Agent_H,2024-02-07 02:00:00,2024-02-10 02:00:00,2024-02-07 21:00:00
CMP-00088,Order #66370 delayed by 9 days,Delivery Delays,Medium,In Progress,Agent_G,2024-02-20 22:00:00,2024-02-22 22:00:00,
CMP-00089,App keeps crashing when I try to login,Technical Problems,Medium,Open,,2024-08-06 10:00:00,2024-08-08 10:00:00,
CMP-00090,Cannot login to my account,Account Issues,High,Resolved,Agent_A,2024-10-27 17:00:00,2024-10-28 17:00:00,2024-10-28 15:00:00
CMP-00091,Defective headphones received in last order,Product Defects,High,In Progress,Agent_D,2024-03-20 21:00:00,2024-03-21 21:00:00,
CMP-00092,Service outage in my area since last week,Service Disruption,High,Resolved,Agent_A,2024-11-07 21:00:00,2024-11-08 21:00:00,2024-11-10 08:00:00
CMP-00093,Cannot login to my account,Account Issues,Medium,Open,,2024-11-20 00:00:00,2024-11-22 00:00:00,
CMP-00094,Defective keyboard received in last order,Product Defects,High,Escalated,Agent_B,2024-01-27 04:00:00,2024-01-28 04:00:00,
CMP-00095,App keeps crashing when I try to download,Technical Problems,Medium,Assigned,Agent_B,2024-06-25 13:00:00,2024-06-27 13:00:00,
CMP-00096,Order #25726 delayed by 2 days,Delivery Delays,Low,Assigned,Agent_D,2025-01-27 04:00:00,2025-01-30 04:00:00,
CMP-00097,Order #70260 delayed by 3 days,Delivery Delays,High,Pending Customer Response,Agent_F,2024-02-06 12:00:00,2024-02-07 12:00:00,
CMP-00098,Cannot login to my account,Account Issues,High,Assigned,Agent_G,2024-01-11 10:00:00,2024-01-12 10:00:00,
CMP-00099,App keeps crashing when I try to login,Technical Problems,Medium,In Progress,Agent_E,2025-01-16 10:00:00,2025-01-18 10:00:00,
CMP-00100,Poor response from support team,Customer Service,Medium,Resolved,Agent_C,2024-04-30 03:00:00,2024-05-02 03:00:00,2024-04-30 16:00:00
CMP-00101,Poor response from support team,Customer Service,Medium,Escalated,Agent_F,2024-11-17 10:00:00,2024-11-19 10:00:00,
CMP-00102,Defective router received in last order,Product Defects,Medium,In Progress,Agent_H,2024-01-20 01:00:00,2024-01-22 01:00:00,
CMP-00103,App keeps crashing when I try to download,Technical Problems,Medium,Escalated,Agent_A,2024-08-18 18:00:00,2024-08-20 18:00:00,
CMP-00104,Poor response from support team,Customer Service,Medium,Resolved,Agent_C,2024-01-21 07:00:00,2024-01-23 07:00:00,2024-01-25 16:00:00
CMP-00105,Defective laptop received in last order,Product Defects,High,Open,,2024-11-19 20:00:00,2024-11-20 20:00:00,
CMP-00106,Cannot login to my account,Account Issues,Critical,Escalated,Agent_C,2024-06-19 02:00:00,2024-06-19 06:00:00,
CMP-00107,Incorrect charge of ₹9124 on my invoice,BILLING ISSUES,Medium,In Progress,Agent_F,2024-03-06 21:00:00,2024-03-08 21:00:00,
CMP-00108,Defective router received in last order,Product Defects,Critical,In Progress,Agent_D,2024-03-11 04:00:00,2024-03-11 08:00:00,
CMP-00109,Cannot login to my account,Account Issues,Medium,Resolved,Agent_C,2024-11-01 12:00:00,2024-11-03 12:00:00,2024-11-02 00:00:00
CMP-00110,Defective router received in last order,Product Defects,High,Resolved,Agent_D,2024-09-30 07:00:00,2024-10-01 07:00:00,2024-09-30 23:00:00
CMP-00111,App keeps crashing when I try to download,Technical Problems,Critical,Resolved,Agent_C,2024-05-08 01:00:00,2024-05-08 05:00:00,2024-05-08 04:00:00
CMP-00112,Order #61964 delayed by 10 days,Delivery Delays,Low,In Progress,Agent_D,2024-08-18 11:00:00,2024-08-21 11:00:00,
CMP-00113,Service outage in my area since last week,Service Disruption,,Closed,Agent_F,2024-03-15 04:00:00,2024-03-18 04:00:00,2024-03-17 17:00:00
CMP-00114,Service outage in my area since last week,Service Disruption,Medium,Resolved,Agent_G,2024-02-26 09:00:00,2024-02-28 09:00:00,2024-02-26 17:00:00
CMP-00115,App keeps crashing when I try to upload,Technical Problems,Medium,Open,,2024-09-20 18:00:00,2024-09-22 18:00:00,
CMP-00116,Cannot login to my account,Account Issues,High,Pending Customer Response,Agent_F,2024-02-04 16:00:00,2024-02-05 16:00:00,
CMP-00117,Defective laptop received in last order,Product Defects,Medium,Open,,2024-02-04 11:00:00,2024-02-06 11:00:00,
CMP-00118,Service outage in my area since last week,Service Disruption,High,Resolved,Agent_H,2024-11-19 05:00:00,2024-11-20 05:00:00,2024-11-20 14:00:00
CMP-00119,Defective router received in last order,Product Defects,Medium,Closed,Agent_H,2024-05-09 01:00:00,2024-05-11 01:00:00,2024-05-12 02:00:00
CMP-00120,App keeps crashing when I try to upload,Technical Problems,High,Resolved,Agent_G,2024-06-22 05:00:00,2024-06-23 05:00:00,2024-06-22 21:00:00
CMP-00121,Service outage in my area since last week,Service Disruption,Medium,In Progress,Agent_B,2024-06-16 21:00:00,2024-06-18 21:00:00,
CMP-00122,Incorrect charge of ₹1729 on my invoice,Billing Issues,High,Closed,Agent_G,2024-05-20 20:00:00,2024-05-21 20:00:00,2024-05-22 04:00:00
CMP-00123,Poor response from support team,Customer Service,High,Resolved,Agent_A,2024-03-05 02:00:00,2024-03-06 02:00:00,2024-03-05 23:00:00
CMP-00124,Defective monitor received in last order,Product Defects,Medium,Open,,2024-03-11 16:00:00,2024-03-13 16:00:00,
CMP-00125,App keeps crashing when I try to login,Technical Problems,Medium,Closed,Agent_B,2024-05-14 08:00:00,2024-05-16 08:00:00,2024-05-17 12:00:00
CMP-00126,App keeps crashing when I try to upload,Technical Problems,Critical,Resolved,Agent_F,2024-12-07 11:00:00,2024-12-07 15:00:00,2024-12-10 14:00:00
CMP-00127,Defective monitor received in last order,Product Defects,Medium,Open,,2024-04-12 04:00:00,2024-04-14 04:00:00,
CMP-00128,Service outage in my area since last week,Service Disruption,High,Open,,2024-06-07 12:00:00,2024-06-08 12:00:00,
CMP-00129,Incorrect charge of ₹2614 on my invoice,Billing Issues,Medium,Resolved,Agent_F,2024-03-06 17:00:00,2024-03-08 17:00:00,2024-03-07 05:00:00
CMP-00130,Defective keyboard received in last order,Product Defects,Critical,Assigned,Agent_E,2024-02-10 08:00:00,2024-02-10 12:00:00,
CMP-00131,Service outage in my area since last week,Service Disruption,Medium,Escalated,Agent_C,2024-12-03 19:00:00,2024-12-05 19:00:00,
CMP-00132,Cannot login to my account,Account Issues,Medium,Escalated,Agent_A,2024-09-11 20:00:00,2024-09-13 20:00:00,
CMP-00133,Incorrect charge of ₹3842 on my invoice,Billing Issues,High,Assigned,Agent_G,2024-09-04 14:00:00,2024-09-05 14:00:00,
CMP-00134,Defective laptop received in last order,Product Defects,Critical,Open,,2024-07-08 16:00:00,2024-07-08 20:00:00,
CMP-00135,Incorrect charge of ₹5864 on my invoice,Billing Issues,Medium,In Progress,Agent_G,2024-05-07 05:00:00,2024-05-09 05:00:00,
CMP-00136,Defective headphones received in last order,Product Defects,Medium,Open,,2024-07-20 16:00:00,2024-07-22 16:00:00,
CMP-00137,Poor response from support team,Customer Service,High,In Progress,Agent_A,2024-02-25 13:00:00,2024-02-26 13:00:00,
CMP-00138,Defective router received in last order,Product Defects,Medium,Open,,2024-09-15 14:00:00,2024-09-17 14:00:00,
CMP-00139,Poor response from support team,Customer Service,Critical,Escalated,Agent_F,2025-01-21 04:00:00,2025-01-21 08:00:00,
CMP-00140,Poor response from support team,Customer Service,Medium,In Progress,Agent_C,2024-06-16 19:00:00,2024-06-18 19:00:00,
CMP-00141,Order #50327 delayed by 14 days,Delivery Delays,Medium,Resolved,Agent_E,2024-08-31 00:00:00,2024-09-02 00:00:00,2024-09-01 20:00:00
CMP-00142,Order #29369 delayed by 15 days,Delivery Delays,Medium,Closed,Agent_D,2025-01-04 01:00:00,2025-01-06 01:00:00,2025-01-04 12:00:00
CMP-00143,Incorrect charge of ₹3840 on my invoice,Billing Issues,Low,In Progress,Agent_G,2024-03-18 13:00:00,2024-03-21 13:00:00,
CMP-00144,Service outage in my area since last week,Service Disruption,Medium,Escalated,Agent_H,2024-09-26 12:00:00,2024-09-28 12:00:00,
CMP-00145,Cannot login to my account,Account Issues,High,Resolved,Agent_H,2024-04-08 07:00:00,2024-04-09 07:00:00,2024-04-08 17:00:00
CMP-00146,Poor response from support team,Customer Service,High,Assigned,Agent_G,2024-07-21 11:00:00,2024-07-22 11:00:00,
CMP-00147,Cannot login to my account,Account Issues,Medium,Assigned,Agent_E,2024-10-14 22:00:00,2024-10-16 22:00:00,
CMP-00148,Order #10679 delayed by 10 days,Delivery Delays,Medium,Assigned,Agent_B,2024-07-30 10:00:00,2024-08-01 10:00:00,
CMP-00149,App keeps crashing when I try to download,Technical Problems,Medium,Assigned,Agent_E,2024-06-13 09:00:00,2024-06-15 09:00:00,
CMP-00150,Service outage in my area since last week,Service Disruption,Medium,Resolved,Agent_A,2024-07-22 15:00:00,2024-07-24 15:00:00,2024-07-24 15:00:00
CMP-00151,App keeps crashing when I try to login,Technical Problems,Critical,Pending Customer Response,Agent_H,2024-03-09 16:00:00,2024-03-09 20:00:00,
CMP-00152,Service outage in my area since last week,Service Disruption,Low,In Progress,Agent_E,2024-10-17 21:00:00,2024-10-20 21:00:00,
CMP-00153,Cannot login to my account,Account Issues,Low,Closed,Agent_H,2024-06-14 07:00:00,2024-06-17 07:00:00,2024-06-16 09:00:00
CMP-00154,Defective headphones received in last order,Product Defects,High,Open,,2024-03-01 14:00:00,2024-03-02 14:00:00,
CMP-00155,Cannot login to my account,Account Issues,Low,Closed,Agent_E,2024-07-07 19:00:00,2024-07-10 19:00:00,2024-07-08 13:00:00
CMP-00156,Order #57419 delayed by 3 days,Delivery Delays,High,Resolved,Agent_D,2024-12-14 19:00:00,2024-12-15 19:00:00,2024-12-16 06:00:00
CMP-00157,Order #86434 delayed by 9 days,Delivery Delays,Medium,Pending Customer Response,Agent_C,2024-06-16 16:00:00,2024-06-18 16:00:00,
CMP-00158,App keeps crashing when I try to share,TECHNICAL PROBLEMS,Low,In Progress,Agent_A,2024-10-13 14:00:00,2024-10-16 14:00:00,
CMP-00159,App keeps crashing when I try to upload,Technical Problems,Medium,Open,,2024-01-31 02:00:00,2024-02-02 02:00:00,
CMP-00160,Cannot login to my account,Account Issues,Critical,In Progress,Agent_G,2024-08-17 12:00:00,2024-08-17 16:00:00,
CMP-00161,App keeps crashing when I try to download,Technical Problems,Medium,Resolved,Agent_D,2024-01-02 00:00:00,2024-01-04 00:00:00,2024-01-06 12:00:00
CMP-00162,Service outage in my area since last week,SERVICE DISRUPTION,Critical,Resolved,Agent_B,2024-01-17 21:00:00,2024-01-18 01:00:00,2024-01-17 22:00:00
CMP-00163,Incorrect charge of ₹9343 on my invoice,Billing Issues,Medium,Open,,2024-08-12 07:00:00,2024-08-14 07:00:00,
CMP-00164,Order #64206 delayed by 6 days,Delivery Delays,Medium,Escalated,Agent_F,2024-05-01 09:00:00,2024-05-03 09:00:00,
CMP-00165,Cannot login to my account,Account Issues,Critical,Escalated,Agent_G,2024-10-11 15:00:00,2024-10-11 19:00:00,
CMP-00166,Service outage in my area since last week,Service Disruption,High,In Progress,Agent_D,2024-06-02 22:00:00,2024-06-03 22:00:00,
CMP-00167,Service outage in my area since last week,Service Disruption,Medium,In Progress,Agent_B,2024-08-18 11:00:00,2024-08-20 11:00:00,
CMP-00168,Incorrect charge of ₹5467 on my invoice,Billing Issues,Low,Resolved,Agent_D,2024-09-02 06:00:00,2024-09-05 06:00:00,2024-09-07 01:00:00
CMP-00169,Service outage in my area since last week,Service Disruption,High,Resolved,Agent_G,2024-05-02 17:00:00,2024-05-03 17:00:00,2024-05-03 03:00:00
CMP-00170,App keeps crashing when I try to pay,Technical Problems,Low,Closed,Agent_H,2025-01-24 10:00:00,2025-01-27 10:00:00,2025-01-29 10:00:00
CMP-00171,Order #42208 delayed by 9 days,Delivery Delays,Medium,In Progress,Agent_C,2024-04-10 10:00:00,2024-04-12 10:00:00,
CMP-00172,Poor response from support team,Customer Service,High,Closed,Agent_H,2024-08-23 05:00:00,2024-08-24 05:00:00,2024-08-26 03:00:00
CMP-00173,Incorrect charge of ₹2752 on my invoice,Billing Issues,Medium,Resolved,Agent_B,2024-12-08 01:00:00,2024-12-10 01:00:00,2024-12-12 06:00:00
CMP-00174,Cannot login to my account,ACCOUNT ISSUES,High,Escalated,Agent_H,2024-12-03 15:00:00,2024-12-04 15:00:00,
CMP-00175,Defective headphones received in last order,Product Defects,Low,Resolved,Agent_G,2024-04-01 03:00:00,2024-04-04 03:00:00,2024-04-06 23:00:00
CMP-00176,Incorrect charge of ₹5414 on my invoice,Billing Issues,Medium,In Progress,Agent_D,2024-12-22 07:00:00,2024-12-24 07:00:00,
CMP-00177,Incorrect charge of ₹5927 on my invoice,Billing Issues,High,Open,,2024-08-10 20:00:00,2024-08-11 20:00:00,
CMP-00178,Order #96259 delayed by 2 days,Delivery Delays,Medium,,,2024-02-08 21:00:00,2024-02-10 21:00:00,
CMP-00179,Service outage in my area since last week,Service Disruption,Medium,Resolved,Agent_G,2024-02-09 09:00:00,2024-02-11 09:00:00,2024-02-10 01:00:00
CMP-00180,Cannot login to my account,Account Issues,Low,Resolved,Agent_F,2024-01-28 03:00:00,2024-01-31 03:00:00,2024-01-28 13:00:00
CMP-00181,Poor response from support team,Customer Service,Critical,In Progress,Agent_F,2024-10-10 12:00:00,2024-10-10 16:00:00,
CMP-00182,Cannot login to my account,Account Issues,Low,Assigned,Agent_G,2024-12-30 20:00:00,2025-01-02 20:00:00,
CMP-00183,Poor response from support team,Customer Service,Medium,Open,,2024-04-05 13:00:00,2024-04-07 13:00:00,
CMP-00184,Order #83339 delayed by 5 days,Delivery Delays,Medium,In Progress,Agent_G,2024-01-07 09:00:00,2024-01-09 09:00:00,
CMP-00185,Service outage in my area since last week,Service Disruption,Medium,Assigned,Agent_C,2024-02-02 05:00:00,2024-02-04 05:00:00,
CMP-00186,Cannot login to my account,Account Issues,High,Escalated,Agent_D,2024-08-22 03:00:00,2024-08-23 03:00:00,
CMP-00187,App keeps crashing when I try to upload,Technical Problems,Medium,Resolved,Agent_C,2024-06-02 10:00:00,2024-06-04 10:00:00,2024-06-04 07:00:00
CMP-00188,App keeps crashing when I try to download,Technical Problems,Critical,Resolved,Agent_F,2024-07-11 08:00:00,2024-07-11 12:00:00,2024-07-13 15:00:00
CMP-00189,Incorrect charge of ₹1633 on my invoice,Billing Issues,Critical,In Progress,Agent_D,2024-08-12 09:00:00,2024-08-12 13:00:00,
CMP-00190,App keeps crashing when I try to download,TECHNICAL PROBLEMS,High,Open,,2024-11-02 15:00:00,2024-11-03 15:00:00,
CMP-00191,Poor response from support team,Customer Service,Medium,Escalated,Agent_B,2024-02-25 07:00:00,2024-02-27 07:00:00,
CMP-00192,Poor response from support team,Customer Service,Medium,Resolved,Agent_B,2024-01-06 03:00:00,2024-01-08 03:00:00,2024-01-07 12:00:00
CMP-00193,Order #25213 delayed by 15 days,Delivery Delays,High,Assigned,Agent_A,2024-09-04 03:00:00,2024-09-05 03:00:00,
CMP-00194,App keeps crashing when I try to upload,Technical Problems,High,,Agent_F,2024-08-31 03:00:00,2024-09-01 03:00:00,
CMP-00195,Defective router received in last order,Product Defects,High,Resolved,Agent_C,2025-01-14 07:00:00,2025-01-15 07:00:00,2025-01-15 01:00:00
CMP-00196,Cannot login to my account,Account Issues,High,In Progress,Agent_D,2024-08-18 18:00:00,2024-08-19 18:00:00,
